Column Name,Description
Rank,Rank by median earnings
Major_code,Major code
Major,Major description
Major_category,Category of major
Total,Total number of people with major
Sample_size,"Sample size (unweighted) of full-time, year-round ONLY (used for earnings)"
Men,Male graduates
Women,Female graduates
ShareWomen,Women as share of total
Employed,Number employed
Full_time,Employed 35 hours or more
Part_time,Employed less than 35 hours
Full_time_year_round,Employed at least 50 weeks and at least 35 hours
Unemployed,Number unemployed
Unemployment_rate,Unemployed / (Unemployed + Employed)
Median,"Median earnings of full-time, year-round workers"
P25th,25th percentile of earnings
P75th,75th percentile of earnings
College_jobs,Number with job requiring a college degree
Non_college_jobs,Number with job not requiring a college degree
Low_wage_jobs,Number in low-wage service jobs
